task_id,status_bucket,selected_timestamp,selected_run_dir,slm1_class,slm2_class,fb1_state,fb1_class,fb2_state,fb2_class
HumanEval/20,FALLBACK_PASS,20260213_073022,episodes/humaneval_runs/20260213_073022_HumanEval_20,NameError,NameError,FAIL,NameError,PASS,PASS
HumanEval/21,FALLBACK_PASS,20260213_073942,episodes/humaneval_runs/20260213_073942_HumanEval_21,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/22,FALLBACK_PASS,20260213_074751,episodes/humaneval_runs/20260213_074751_HumanEval_22,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/23,NO_FALLBACK_SLM_PASS_ONLY,20260202_040711,episodes/humaneval_runs/20260202_040711_HumanEval_23,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/24,NO_FALLBACK_SLM_PASS_ONLY,20260202_040726,episodes/humaneval_runs/20260202_040726_HumanEval_24,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/25,FALLBACK_PASS,20260213_075127,episodes/humaneval_runs/20260213_075127_HumanEval_25,NameError,NameError,PASS,PASS,MISSING,MISSING
HumanEval/26,FALLBACK_PASS,20260221_074016,episodes/humaneval_runs/20260221_074016_HumanEval_26,NO_CODE_EXTRACTED,NO_CODE_EXTRACTED,PASS,PASS,MISSING,MISSING
HumanEval/27,NO_FALLBACK_SLM_PASS_ONLY,20260202_041041,episodes/humaneval_runs/20260202_041041_HumanEval_27,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/28,FALLBACK_FAIL_NON_INFRA,20260222_060434,episodes/humaneval_runs/20260222_060434_HumanEval_28,NameError,NameError,FAIL,NameError,FAIL,NameError
HumanEval/29,FALLBACK_FAIL_NON_INFRA,20260222_060637,episodes/humaneval_runs/20260222_060637_HumanEval_29,NameError,NameError,FAIL,NameError,FAIL,NameError
HumanEval/30,NO_FALLBACK_SLM_PASS_ONLY,20260202_041206,episodes/humaneval_runs/20260202_041206_HumanEval_30,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/31,NO_FALLBACK_SLM_PASS_ONLY,20260202_041216,episodes/humaneval_runs/20260202_041216_HumanEval_31,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/32,FALLBACK_FAIL_NON_INFRA,20260222_060955,episodes/humaneval_runs/20260222_060955_HumanEval_32,SyntaxError,SyntaxError,FAIL,IndentationError,FAIL,IndentationError
HumanEval/33,FALLBACK_PASS,20260213_075605,episodes/humaneval_runs/20260213_075605_HumanEval_33,TypeError,TypeError,FAIL,AssertionError|tail,PASS,PASS
HumanEval/34,NO_FALLBACK_SLM_PASS_ONLY,20260201_175614,episodes/humaneval_runs/20260201_175614_HumanEval_34,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/35,NO_FALLBACK_SLM_PASS_ONLY,20260202_041538,episodes/humaneval_runs/20260202_041538_HumanEval_35,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/36,NO_FALLBACK_SLM_PASS_ONLY,20260202_041547,episodes/humaneval_runs/20260202_041547_HumanEval_36,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/37,FALLBACK_PASS,20260213_080041,episodes/humaneval_runs/20260213_080041_HumanEval_37,IndexError,TypeError,PASS,PASS,MISSING,MISSING
HumanEval/38,FALLBACK_FAIL_NON_INFRA,20260222_064903,episodes/humaneval_runs/20260222_064903_HumanEval_38,NameError,SLM_TIMEOUT,FAIL,NameError,FAIL,NameError
HumanEval/39,FALLBACK_PASS,20260222_102150,episodes/humaneval_runs/20260222_102150_HumanEval_39,SLM_TIMEOUT,SLM_TIMEOUT,PASS,PASS,MISSING,MISSING
HumanEval/40,NO_FALLBACK_SLM_PASS_ONLY,20260202_041902,episodes/humaneval_runs/20260202_041902_HumanEval_40,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/41,NO_FALLBACK_SLM_PASS_ONLY,20260202_041923,episodes/humaneval_runs/20260202_041923_HumanEval_41,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/42,NO_FALLBACK_SLM_PASS_ONLY,20260202_041933,episodes/humaneval_runs/20260202_041933_HumanEval_42,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/43,NO_FALLBACK_SLM_PASS_ONLY,20260202_041943,episodes/humaneval_runs/20260202_041943_HumanEval_43,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/44,NO_FALLBACK_SLM_PASS_ONLY,20260202_041957,episodes/humaneval_runs/20260202_041957_HumanEval_44,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/45,NO_FALLBACK_SLM_PASS_ONLY,20260202_042016,episodes/humaneval_runs/20260202_042016_HumanEval_45,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/46,FALLBACK_PASS,20260222_114758,episodes/humaneval_runs/20260222_114758_HumanEval_46,SLM_TIMEOUT,SLM_TIMEOUT,PASS,PASS,MISSING,MISSING
HumanEval/47,NO_FALLBACK_SLM_PASS_ONLY,20260202_042151,episodes/humaneval_runs/20260202_042151_HumanEval_47,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/48,NO_FALLBACK_SLM_PASS_ONLY,20260202_042209,episodes/humaneval_runs/20260202_042209_HumanEval_48,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/49,NO_FALLBACK_SLM_PASS_ONLY,20260202_042217,episodes/humaneval_runs/20260202_042217_HumanEval_49,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/50,FALLBACK_FAIL_NON_INFRA,20260222_115315,episodes/humaneval_runs/20260222_115315_HumanEval_50,SLM_TIMEOUT,SLM_TIMEOUT,FAIL,NameError,FAIL,NameError
HumanEval/51,NO_FALLBACK_SLM_PASS_ONLY,20260202_042322,episodes/humaneval_runs/20260202_042322_HumanEval_51,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/52,NO_FALLBACK_SLM_PASS_ONLY,20260202_042334,episodes/humaneval_runs/20260202_042334_HumanEval_52,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/53,NO_FALLBACK_SLM_PASS_ONLY,20260202_042347,episodes/humaneval_runs/20260202_042347_HumanEval_53,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/54,FALLBACK_PASS,20260212_074958,episodes/humaneval_runs/20260212_074958_HumanEval_54,AssertionError|tail,AssertionError|tail,PASS,PASS,MISSING,MISSING
HumanEval/55,NO_FALLBACK_SLM_PASS_ONLY,20260202_042450,episodes/humaneval_runs/20260202_042450_HumanEval_55,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/56,NO_FALLBACK_SLM_PASS_ONLY,20260202_042505,episodes/humaneval_runs/20260202_042505_HumanEval_56,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/57,NO_FALLBACK_SLM_PASS_ONLY,20260201_180042,episodes/humaneval_runs/20260201_180042_HumanEval_57,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/58,NO_FALLBACK_SLM_PASS_ONLY,20260201_180055,episodes/humaneval_runs/20260201_180055_HumanEval_58,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/59,NO_FALLBACK_SLM_PASS_ONLY,20260202_042522,episodes/humaneval_runs/20260202_042522_HumanEval_59,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/60,NO_FALLBACK_SLM_PASS_ONLY,20260202_042556,episodes/humaneval_runs/20260202_042556_HumanEval_60,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/61,NO_FALLBACK_SLM_PASS_ONLY,20260202_042607,episodes/humaneval_runs/20260202_042607_HumanEval_61,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/62,NO_FALLBACK_SLM_PASS_ONLY,20260202_042623,episodes/humaneval_runs/20260202_042623_HumanEval_62,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/63,NO_FALLBACK_SLM_PASS_ONLY,20260202_042634,episodes/humaneval_runs/20260202_042634_HumanEval_63,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/64,FALLBACK_PASS,20260212_080911,episodes/humaneval_runs/20260212_080911_HumanEval_64,AssertionError,AssertionError,PASS,PASS,MISSING,MISSING
HumanEval/65,FALLBACK_FAIL_NON_INFRA,20260222_122759,episodes/humaneval_runs/20260222_122759_HumanEval_65,SLM_TIMEOUT,SLM_TIMEOUT,FAIL,AssertionError|tail,FAIL,AssertionError|tail
HumanEval/66,NO_FALLBACK_SLM_PASS_ONLY,20260202_042901,episodes/humaneval_runs/20260202_042901_HumanEval_66,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/67,FALLBACK_PASS,20260213_082821,episodes/humaneval_runs/20260213_082821_HumanEval_67,ValueError,ValueError,PASS,PASS,MISSING,MISSING
HumanEval/68,NO_FALLBACK_SLM_PASS_ONLY,20260202_042940,episodes/humaneval_runs/20260202_042940_HumanEval_68,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/69,FALLBACK_PASS,20260212_081415,episodes/humaneval_runs/20260212_081415_HumanEval_69,AssertionError|tail,AssertionError|tail,PASS,PASS,MISSING,MISSING
HumanEval/70,FALLBACK_PASS,20260212_081548,episodes/humaneval_runs/20260212_081548_HumanEval_70,AssertionError|tail,AssertionError|tail,PASS,PASS,MISSING,MISSING
HumanEval/71,FALLBACK_PASS,20260212_081734,episodes/humaneval_runs/20260212_081734_HumanEval_71,AssertionError,AssertionError,PASS,PASS,MISSING,MISSING
HumanEval/72,NO_FALLBACK_SLM_PASS_ONLY,20260202_043154,episodes/humaneval_runs/20260202_043154_HumanEval_72,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/73,NO_FALLBACK_SLM_PASS_ONLY,20260202_043208,episodes/humaneval_runs/20260202_043208_HumanEval_73,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/74,FALLBACK_PASS,20260222_123432,episodes/humaneval_runs/20260222_123432_HumanEval_74,SLM_TIMEOUT,SLM_TIMEOUT,PASS,PASS,MISSING,MISSING
HumanEval/75,FALLBACK_PASS,20260213_064248,episodes/humaneval_runs/20260213_064248_HumanEval_75,AssertionError|tail,AssertionError|tail,PASS,PASS,MISSING,MISSING
HumanEval/76,FALLBACK_PASS,20260222_130829,episodes/humaneval_runs/20260222_130829_HumanEval_76,SLM_TIMEOUT,SLM_TIMEOUT,PASS,PASS,MISSING,MISSING
HumanEval/77,FALLBACK_PASS,20260213_065301,episodes/humaneval_runs/20260213_065301_HumanEval_77,AssertionError,AssertionError,PASS,PASS,MISSING,MISSING
HumanEval/78,NO_FALLBACK_SLM_PASS_ONLY,20260202_043527,episodes/humaneval_runs/20260202_043527_HumanEval_78,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/79,FALLBACK_PASS,20260222_134359,episodes/humaneval_runs/20260222_134359_HumanEval_79,SLM_TIMEOUT,SLM_TIMEOUT,PASS,PASS,MISSING,MISSING
HumanEval/80,NO_FALLBACK_SLM_PASS_ONLY,20260202_043636,episodes/humaneval_runs/20260202_043636_HumanEval_80,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/81,FALLBACK_PASS,20260222_134840,episodes/humaneval_runs/20260222_134840_HumanEval_81,SLM_TIMEOUT,SLM_TIMEOUT,PASS,PASS,MISSING,MISSING
HumanEval/82,NO_FALLBACK_SLM_PASS_ONLY,20260202_043745,episodes/humaneval_runs/20260202_043745_HumanEval_82,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/83,FALLBACK_PASS,20260222_143303,episodes/humaneval_runs/20260222_143303_HumanEval_83,SLM_TIMEOUT,SLM_TIMEOUT,PASS,PASS,MISSING,MISSING
HumanEval/84,NO_FALLBACK_SLM_PASS_ONLY,20260202_043836,episodes/humaneval_runs/20260202_043836_HumanEval_84,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/85,NO_FALLBACK_SLM_PASS_ONLY,20260202_043846,episodes/humaneval_runs/20260202_043846_HumanEval_85,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/86,FALLBACK_PASS,20260222_150735,episodes/humaneval_runs/20260222_150735_HumanEval_86,TypeError,SLM_TIMEOUT,PASS,PASS,MISSING,MISSING
HumanEval/87,NO_FALLBACK_SLM_PASS_ONLY,20260202_043921,episodes/humaneval_runs/20260202_043921_HumanEval_87,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/88,FALLBACK_PASS,20260222_154343,episodes/humaneval_runs/20260222_154343_HumanEval_88,SLM_TIMEOUT,SLM_TIMEOUT,PASS,PASS,MISSING,MISSING
HumanEval/89,NO_FALLBACK_SLM_PASS_ONLY,20260202_044046,episodes/humaneval_runs/20260202_044046_HumanEval_89,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/90,FALLBACK_PASS,20260222_161834,episodes/humaneval_runs/20260222_161834_HumanEval_90,AssertionError|tail,SLM_TIMEOUT,PASS,PASS,MISSING,MISSING
HumanEval/91,FALLBACK_FAIL_NON_INFRA,20260222_170956,episodes/humaneval_runs/20260222_170956_HumanEval_91,SLM_TIMEOUT,SLM_TIMEOUT,FAIL,AssertionError,FAIL,AssertionError
HumanEval/92,NO_FALLBACK_SLM_PASS_ONLY,20260202_044221,episodes/humaneval_runs/20260202_044221_HumanEval_92,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/93,FALLBACK_PASS,20260222_174547,episodes/humaneval_runs/20260222_174547_HumanEval_93,SLM_TIMEOUT,SLM_TIMEOUT,PASS,PASS,MISSING,MISSING
HumanEval/94,NO_FALLBACK_SLM_PASS_ONLY,20260202_044327,episodes/humaneval_runs/20260202_044327_HumanEval_94,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/95,NO_FALLBACK_SLM_PASS_ONLY,20260202_044358,episodes/humaneval_runs/20260202_044358_HumanEval_95,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/96,NO_FALLBACK_SLM_PASS_ONLY,20260202_044420,episodes/humaneval_runs/20260202_044420_HumanEval_96,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/97,NO_FALLBACK_SLM_PASS_ONLY,20260202_044444,episodes/humaneval_runs/20260202_044444_HumanEval_97,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/98,NO_FALLBACK_SLM_PASS_ONLY,20260202_044455,episodes/humaneval_runs/20260202_044455_HumanEval_98,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/99,NO_FALLBACK_SLM_PASS_ONLY,20260202_044507,episodes/humaneval_runs/20260202_044507_HumanEval_99,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/100,NO_FALLBACK_SLM_PASS_ONLY,20260202_044522,episodes/humaneval_runs/20260202_044522_HumanEval_100,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/101,FALLBACK_PASS,20260222_182120,episodes/humaneval_runs/20260222_182120_HumanEval_101,AssertionError|tail,SLM_TIMEOUT,PASS,PASS,MISSING,MISSING
HumanEval/102,FALLBACK_PASS,20260222_192837,episodes/humaneval_runs/20260222_192837_HumanEval_102,SLM_TIMEOUT,SLM_TIMEOUT,PASS,PASS,MISSING,MISSING
HumanEval/103,FALLBACK_PASS,20260222_195616,episodes/humaneval_runs/20260222_195616_HumanEval_103,SLM_TIMEOUT,SLM_TIMEOUT,PASS,PASS,MISSING,MISSING
HumanEval/104,NO_FALLBACK_SLM_PASS_ONLY,20260202_044732,episodes/humaneval_runs/20260202_044732_HumanEval_104,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/105,NO_FALLBACK_SLM_PASS_ONLY,20260202_044744,episodes/humaneval_runs/20260202_044744_HumanEval_105,TypeError,PASS,MISSING,MISSING,MISSING,MISSING
HumanEval/106,FALLBACK_FAIL_NON_INFRA,20260222_203049,episodes/humaneval_runs/20260222_203049_HumanEval_106,SLM_TIMEOUT,SLM_TIMEOUT,FAIL,IndentationError,FAIL,IndentationError
HumanEval/107,NO_FALLBACK_SLM_PASS_ONLY,20260202_044929,episodes/humaneval_runs/20260202_044929_HumanEval_107,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/108,FALLBACK_FAIL_NON_INFRA,20260222_211407,episodes/humaneval_runs/20260222_211407_HumanEval_108,SLM_TIMEOUT,SLM_TIMEOUT,FAIL,AssertionError|tail,FAIL,AssertionError|tail
HumanEval/109,NO_FALLBACK_SLM_PASS_ONLY,20260202_045028,episodes/humaneval_runs/20260202_045028_HumanEval_109,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/110,FALLBACK_PASS,20260222_215002,episodes/humaneval_runs/20260222_215002_HumanEval_110,SLM_TIMEOUT,SLM_TIMEOUT,PASS,PASS,MISSING,MISSING
HumanEval/111,NO_FALLBACK_SLM_PASS_ONLY,20260202_045215,episodes/humaneval_runs/20260202_045215_HumanEval_111,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/112,FALLBACK_PASS,20260222_222555,episodes/humaneval_runs/20260222_222555_HumanEval_112,AssertionError|tail,SLM_TIMEOUT,PASS,PASS,MISSING,MISSING
HumanEval/113,FALLBACK_PASS,20260222_231724,episodes/humaneval_runs/20260222_231724_HumanEval_113,SLM_TIMEOUT,SLM_TIMEOUT,PASS,PASS,MISSING,MISSING
HumanEval/114,NO_FALLBACK_SLM_PASS_ONLY,20260202_045405,episodes/humaneval_runs/20260202_045405_HumanEval_114,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/115,FALLBACK_FAIL_NON_INFRA,20260222_235349,episodes/humaneval_runs/20260222_235349_HumanEval_115,SLM_TIMEOUT,SLM_TIMEOUT,FAIL,AssertionError,FAIL,NameError
HumanEval/116,NO_FALLBACK_SLM_PASS_ONLY,20260202_045613,episodes/humaneval_runs/20260202_045613_HumanEval_116,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/117,FALLBACK_PASS,20260221_074112,episodes/humaneval_runs/20260221_074112_HumanEval_117,NO_CODE_EXTRACTED,NO_CODE_EXTRACTED,PASS,PASS,MISSING,MISSING
HumanEval/118,NO_FALLBACK_SLM_PASS_ONLY,20260202_045756,episodes/humaneval_runs/20260202_045756_HumanEval_118,AssertionError|tail,PASS,MISSING,MISSING,MISSING,MISSING
HumanEval/119,FALLBACK_FAIL_NON_INFRA,20260221_074114,episodes/humaneval_runs/20260221_074114_HumanEval_119,NO_CODE_EXTRACTED,NO_CODE_EXTRACTED,FAIL,AssertionError|tail,MISSING,MISSING
HumanEval/120,FALLBACK_PASS,20260223_064708,episodes/humaneval_runs/20260223_064708_HumanEval_120,AssertionError|tail,AssertionError|tail,PASS,PASS,MISSING,MISSING
HumanEval/121,NO_FALLBACK_SLM_PASS_ONLY,20260202_050334,episodes/humaneval_runs/20260202_050334_HumanEval_121,AssertionError|tail,PASS,MISSING,MISSING,MISSING,MISSING
HumanEval/122,NO_FALLBACK_SLM_PASS_ONLY,20260202_050437,episodes/humaneval_runs/20260202_050437_HumanEval_122,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/123,FALLBACK_PASS,20260223_065124,episodes/humaneval_runs/20260223_065124_HumanEval_123,AssertionError|tail,TIMEOUT,PASS,PASS,MISSING,MISSING
HumanEval/124,FALLBACK_PASS,20260221_074120,episodes/humaneval_runs/20260221_074120_HumanEval_124,NO_CODE_EXTRACTED,NO_CODE_EXTRACTED,PASS,PASS,MISSING,MISSING
HumanEval/125,NO_FALLBACK_SLM_PASS_ONLY,20260202_055632,episodes/humaneval_runs/20260202_055632_HumanEval_125,NO_RESULT,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/126,FALLBACK_PASS,20260223_065642,episodes/humaneval_runs/20260223_065642_HumanEval_126,AssertionError,AssertionError|tail,PASS,PASS,MISSING,MISSING
HumanEval/127,FALLBACK_PASS,20260223_070049,episodes/humaneval_runs/20260223_070049_HumanEval_127,AssertionError|tail,ZeroDivisionError,PASS,PASS,MISSING,MISSING
HumanEval/128,NO_FALLBACK_SLM_PASS_ONLY,20260202_073521,episodes/humaneval_runs/20260202_073521_HumanEval_128,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/129,FALLBACK_FAIL_NON_INFRA,20260221_074129,episodes/humaneval_runs/20260221_074129_HumanEval_129,NO_CODE_EXTRACTED,NO_CODE_EXTRACTED,FAIL,TIMEOUT,MISSING,MISSING
HumanEval/130,FALLBACK_FAIL_NON_INFRA,20260223_193112,episodes/humaneval_runs/20260223_193112_HumanEval_130,AssertionError|tail,SyntaxError,FAIL,AssertionError|tail,FAIL,AssertionError|tail
HumanEval/131,FALLBACK_PASS,20260221_074139,episodes/humaneval_runs/20260221_074139_HumanEval_131,NO_CODE_EXTRACTED,NO_CODE_EXTRACTED,PASS,PASS,MISSING,MISSING
HumanEval/132,FALLBACK_FAIL_NON_INFRA,20260223_193652,episodes/humaneval_runs/20260223_193652_HumanEval_132,AssertionError,SLM_TIMEOUT,FAIL,AssertionError|tail,FAIL,AssertionError|tail
HumanEval/133,FALLBACK_FAIL_NON_INFRA,20260223_225939,episodes/humaneval_runs/20260223_225939_HumanEval_133,NameError,SLM_TIMEOUT,FAIL,NameError,FAIL,NameError
HumanEval/134,FALLBACK_FAIL_NON_INFRA,20260224_002955,episodes/humaneval_runs/20260224_002955_HumanEval_134,SLM_TIMEOUT,SLM_TIMEOUT,FAIL,AssertionError|tail,FAIL,AssertionError|tail
HumanEval/135,FALLBACK_FAIL_NON_INFRA,20260224_003446,episodes/humaneval_runs/20260224_003446_HumanEval_135,SLM_TIMEOUT,SLM_TIMEOUT,FAIL,AssertionError|tail,FAIL,AssertionError|tail
HumanEval/136,FALLBACK_PASS,20260221_074148,episodes/humaneval_runs/20260221_074148_HumanEval_136,NO_CODE_EXTRACTED,NO_CODE_EXTRACTED,PASS,PASS,MISSING,MISSING
HumanEval/137,FALLBACK_PASS,20260224_054749,episodes/humaneval_runs/20260224_054749_HumanEval_137,AssertionError|tail,AssertionError|tail,PASS,PASS,MISSING,MISSING
HumanEval/138,NO_FALLBACK_SLM_PASS_ONLY,20260202_132135,episodes/humaneval_runs/20260202_132135_HumanEval_138,PASS,MISSING,MISSING,MISSING,MISSING,MISSING
HumanEval/139,FALLBACK_PASS,20260221_074151,episodes/humaneval_runs/20260221_074151_HumanEval_139,NO_CODE_EXTRACTED,NO_CODE_EXTRACTED,PASS,PASS,MISSING,MISSING
HumanEval/140,FALLBACK_PASS,20260224_061835,episodes/humaneval_runs/20260224_061835_HumanEval_140,AssertionError,AssertionError,PASS,PASS,MISSING,MISSING
HumanEval/141,FALLBACK_PASS,20260221_074155,episodes/humaneval_runs/20260221_074155_HumanEval_141,NO_CODE_EXTRACTED,NO_CODE_EXTRACTED,PASS,PASS,MISSING,MISSING
HumanEval/142,FALLBACK_PASS,20260221_074157,episodes/humaneval_runs/20260221_074157_HumanEval_142,NO_CODE_EXTRACTED,NO_CODE_EXTRACTED,PASS,PASS,MISSING,MISSING
HumanEval/143,FALLBACK_FAIL_NON_INFRA,20260221_074159,episodes/humaneval_runs/20260221_074159_HumanEval_143,NO_CODE_EXTRACTED,NO_CODE_EXTRACTED,FAIL,NameError,MISSING,MISSING
HumanEval/144,FALLBACK_PASS,20260221_074202,episodes/humaneval_runs/20260221_074202_HumanEval_144,NO_CODE_EXTRACTED,NO_CODE_EXTRACTED,PASS,PASS,MISSING,MISSING
HumanEval/145,FALLBACK_FAIL_NON_INFRA,20260224_064907,episodes/humaneval_runs/20260224_064907_HumanEval_145,SyntaxError,SyntaxError,FAIL,AssertionError|tail,FAIL,AssertionError|tail
HumanEval/146,FALLBACK_PASS,20260221_074206,episodes/humaneval_runs/20260221_074206_HumanEval_146,NO_CODE_EXTRACTED,NO_CODE_EXTRACTED,PASS,PASS,MISSING,MISSING
HumanEval/147,FALLBACK_PASS,20260221_074209,episodes/humaneval_runs/20260221_074209_HumanEval_147,NO_CODE_EXTRACTED,NO_CODE_EXTRACTED,PASS,PASS,MISSING,MISSING
